REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
RO0153609	DISTRIBUTOR	CARDINAL HEALTH	null	71 MIL-ACRES DR	null	WHEELING	WV	26003	OHIO	FK0817594	RETAIL PHARMACY	KHN PHARMACY - EATON	null	450 B WASHINGTON-JACKSON RD	null	EATON	OH	45320	PREBLE	S	9143	00406052201	OXYCODONE	1.0	null	null	12X000069	null	null	04252012	0.672375	100.0	1204106275	OXYCODONE HCL/ACETAMINOPHEN 7.5MG/32	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Cardinal Health	7.5
PM0003094	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	2700 NORTH AMERICA DRIVE	WEST SENECA	NY	14224	ERIE	BT6516338	CHAIN PHARMACY	TOPS MARKETS	null	12775 BROADWAY	null	ALDEN	NY	14004	ERIE	S	9193	00406036305	HYDROCODONE	1.0	null	null	null	null	null	08232012	3.0269999999999997	500.0	1208010566	HYDROCODONE BIT/ACETA 10MG/500MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	McKesson Corporation	10.0
RW0243903	DISTRIBUTOR	CARDINAL HEALTH	null	4 CARDINAL HEALTH CT.	null	GREENSBORO	NC	27407	GUILFORD	AS5123598	RETAIL PHARMACY	SENTRY DRUG CENTER #11	null	2622 EAST MAIN STREET	null	LINCOLNTON	NC	28092	LINCOLN	S	9143	60951071270	OXYCODONE	3.0	null	null	12X000076	null	null	04032012	2.6895	300.0	1204006903	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Cardinal Health	10.0
PR0040357	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO	2975 EVERGREEN DR	DULUTH	GA	30096	GWINNETT	BF6852087	CHAIN PHARMACY	FOOD CITY PHARMACY #641	null	4307 NORTH ROAN STREET	CARROLL CREEK CROSSING	JOHNSON CITY	TN	37615	WASHINGTON	S	9193	00406036501	HYDROCODONE	1.0	null	null	null	null	null	12032012	0.3027	100.0	1212018900	HYDROCODONE BIT/ACETA 5MG/325MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	McKesson Corporation	5.0
RW0294493	DISTRIBUTOR	WALGREEN CO	null	28727 OREGON ROAD	ATTN: C II MANAGER	PERRYSBURG	OH	43551	WOOD	FW1298199	CHAIN PHARMACY	WALGREEN CO	DBA: WALGREENS #12310	5505 S. OLD US 23	null	BRIGHTON	MI	48116	LIVINGSTON	S	9193	00591085305	HYDROCODONE	2.0	null	null	null	null	null	08032012	6.053999999999999	1000.0	35247	HYDROCODONE BIT. 10MG/ACETAMINOPHEN	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Walgreen Co	10.0
PF0000012	DISTRIBUTOR	MCKESSON CORPORATION	null	DBA MCKESSON DRUG CO.	9501 NORWALK BLVD	SANTA FE SPRINGS	CA	90670	LOS ANGELES	BC8087163	CHAIN PHARMACY	GARFIELD BEACH CVS, L.L.C.	DBA: CVS/PHARMACY  # 09564	15700 SOUTH WESTERN AVENUE	null	GARDENA	CA	90247	LOS ANGELES	S	9193	00074197312	HYDROCODONE	1.0	null	null	null	null	null	01302012	0.45405	100.0	1201004690	VICODIN ES TABLETS 7.5MG HYDROCODONE	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	AbbVie Inc.	AbbVie Inc.	McKesson Corporation	7.5
RK0416900	DISTRIBUTOR	CARDINAL HEALTH 110, LLC	DBA KINRAY	152-35 10TH AVENUE	null	WHITESTONE	NY	11357	QUEENS	FC2367515	RETAIL PHARMACY	CHELSEA PHARM, INC.	null	447 BROADWAY	D/B/A/ MARGOLIS PHARMACY	CHELSEA	MA	2150	SUFFOLK	S	9143	59011041010	OXYCODONE	1.0	null	null	12X000010	null	null	01202012	0.8965	100.0	49173	OXYCONTIN 10MG OXYCODONE HCL CR TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Cardinal Health	10.0
RH0197170	DISTRIBUTOR	CVS INDIANA	null	7590 EMPIRE DR, DOORS 116-123	null	INDIANAPOLIS	IN	46219	MARION	BH1590012	CHAIN PHARMACY	HIGHLAND PARK CVS, L.L.C.	DBA: CVS/PHARMACY  # 06927	805 S. DIXIE RD.	null	HOOPESTON	IL	60942	VERMILION	S	9193	00603388728	HYDROCODONE	9.0	null	null	null	null	null	06052012	27.243000000000002	4500.0	81926	HYDROCODONE.BIT./ACET.,10MG & 325MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	CVS	10.0
RA0264325	DISTRIBUTOR	ASSOCIATED PHARMACIES INC	CLINTON KING	211 LONNIE E CRAWFORD BLVD	null	SCOTTSBORO	AL	35769	JACKSON	FC0011899	RETAIL PHARMACY	CAMP DRUGS, LLC	null	P.O. BOX 428	18294 BROAD STREET	HENAGAR	AL	35978	DE KALB	S	9143	00603499221	OXYCODONE	3.0	null	null	12X000038	null	null	08272012	8.0685	300.0	575625	OXYCODONE HCL 30MG USP TABLETS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Associated Pharmacies Inc	30.0
RW0231908	DISTRIBUTOR	CARDINAL HEALTH	null	2353 PROSPECT DR	null	AURORA	IL	60502	DUPAGE	BK3716783	CHAIN PHARMACY	KROGER	null	2907 KRAFFT	null	PORT HURON	MI	48060	SAINT CLAIR	S	9143	00406853001	OXYCODONE	1.0	null	null	106223123	null	null	01052012	2.6895	100.0	1201012078	OXYCODONE HYDROCHLORIDE 30MG TABLET	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Cardinal Health	30.0
