datetime,open,high,low,close,volume
2020-01-02,74.06000,75.15000,73.79750,75.08750,135480400
2020-01-03,74.28750,75.14500,74.12500,74.35750,146322800
2020-01-06,73.44750,74.99000,73.18750,74.95000,118387200
2020-01-07,74.96000,75.22500,74.37000,74.59750,108872000
2020-01-08,74.29000,76.11000,74.29000,75.79750,132079200
2020-01-09,76.81000,77.60750,76.55000,77.40750,170108400
2020-01-10,77.65000,78.16750,77.06250,77.58250,140644800
2020-01-13,77.91000,79.26750,77.78750,79.24000,121532000
2020-01-14,79.17500,79.39250,78.04250,78.17000,161954400
2020-01-15,77.96250,78.87500,77.38750,77.83500,121923600
2020-01-16,78.39750,78.92500,78.02250,78.81000,108829200
2020-01-17,79.06750,79.68500,78.75000,79.68250,137816400
2020-01-21,79.29750,79.75500,79.00000,79.14250,110843200
2020-01-22,79.64500,79.99750,79.32750,79.42500,101832400
2020-01-23,79.48000,79.89000,78.91250,79.80750,104472000
2020-01-24,80.06250,80.83250,79.38000,79.57750,146537600
2020-01-27,77.51500,77.94250,76.22000,77.23750,161940000
2020-01-28,78.15000,79.60000,78.04750,79.42250,162234000
2020-01-29,81.11250,81.96250,80.34500,81.08500,216229200
2020-01-30,80.13500,81.02250,79.68750,80.96750,126743200
2020-01-31,80.23250,80.67000,77.07250,77.37750,199588400
2020-02-03,76.07500,78.37250,75.55500,77.16500,173788400
2020-02-04,78.82750,79.91000,78.40750,79.71250,136616400
2020-02-05,80.88000,81.19000,79.73750,80.36250,118826800
2020-02-06,80.64250,81.30500,80.06500,81.30250,105425600
2020-02-07,80.59250,80.85000,79.50000,80.00750,117684000
2020-02-10,78.54500,80.38750,78.46250,80.38750,109348800
2020-02-11,80.90000,80.97500,79.67750,79.90250,94323200
2020-02-12,80.36750,81.80500,80.36750,81.80000,113730400
2020-02-13,81.04750,81.55500,80.83750,81.21750,94747600
2020-02-14,81.18500,81.49500,80.71250,81.23750,80113600
2020-02-18,78.84000,79.93750,78.65250,79.75000,152531200
2020-02-19,80.00000,81.14250,80.00000,80.90500,93984000
2020-02-20,80.65750,81.16250,79.55250,80.07500,100566000
2020-02-21,79.65500,80.11250,77.62500,78.26250,129554000
2020-02-24,74.31500,76.04500,72.30750,74.54500,222195200
2020-02-25,75.23750,75.63250,71.53250,72.02000,230673600
2020-02-26,71.63250,74.47000,71.62500,73.16250,198054800
2020-02-27,70.27500,71.50000,68.24000,68.38000,320605600
2020-02-28,64.31500,69.60250,64.09250,68.34000,426510000
2020-03-02,70.57000,75.36000,69.43000,74.70250,341397200
